都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,2323,63459,204,0,2012,107
青 森,37,2590,1,0,35,1
岩手,24,4599,1,0,23,0
宮城,474,11312,58,1,414,2
秋  田,58,2309,5,0,53,0
山形,81,5281,4,0,76,1
福島,302,22541,58,4,240,4
茨城,706,12878,53,5,636,17
栃木,445,33337,23,0,422,1
群馬,755,24642,44,5,692,19
埼玉,5051,152675,416,6,4533,102
千葉,4268,104558,325,13,3871,72
東京,27569,503424,2004,24,25144,421
神奈川,7471,167935,496,19,6825,150
新潟,177,16216,8,0,169,0
富山,422,13250,7,0,389,26
石川,780,14335,21,0,712,47
福井,249,10179,5,0,233,11
山梨,196,10962,9,1,182,6
長野,320,20010,13,0,306,1
岐阜,633,24135,11,1,612,10
静岡,565,37352,24,0,539,2
愛知,5504,83697,260,11,5155,89
三重,535,13981,31,0,497,7
滋賀,514,12804,17,0,489,8
京都,1809,45380,63,2,1719,27
大阪,11109,200492,443,23,10430,223
兵庫,2881,60473,137,12,2685,59
奈良,595,21963,26,0,560,9
和歌山,249,9667,8,0,234,4
鳥取,36,5527,3,0,33,0
島根,140,5925,0,0,140,0
岡山,163,8654,8,3,152,1
広島,625,22098,57,0,562,3
山口,209,10572,10,1,197,2
徳島,149,7085,0,0,131,9
香川,93,11478,0,0,91,2
愛媛,115,4175,1,0,108,6
高知,138,3533,0,0,134,4
福岡,5101,143150,76,6,4926,99
佐賀,248,6280,3,0,247,0
長崎,239,19842,4,0,233,3
熊本,673,17381,55,0,574,8
大分,158,18121,1,0,155,2
宮崎,344,8656,0,0,344,1
鹿児島,447,20254,31,0,413,12
沖縄,2729,44109,268,8,2417,48
(その他),149,-,0,-,149,-
合計,87858,2063276,5292,145,80893,1626
