都道府県名,陽性者数 検査人数,,%
北海道,1296,23539,5.5%
青森,29,1104,2.6%
岩手,0,1152,0.0%
宮城,108,4652,2.3%
秋田,16,1018,1.6%
山形,73,2659,2.7%
福島,84,8027,1.0%
茨城,204,5854,3.5%
栃木,98,9645,1.0%
群馬,156,5884,2.7%
埼玉,1530,46737,3.3%
千葉,1162,21193,5.5%
東京,8189,121821,6.7%
神奈川,1786,14495,12.3%
新潟,87,5365,1.6%
富山,230,4319,5.3%
石川,300,2964,10.1%
福井,124,3726,3.3%
山梨,76,6289,1.2%
長野,79,4640,1.7%
岐阜,165,5934,2.8%
静岡,96,9063,1.1%
愛知,532,14487,3.7%
三重,50,3107,1.6%
滋賀,106,2847,3.7%
京都,456,12393,3.7%
大阪,2045,47608,4.3%
兵庫,739,17192,4.3%
奈良,126,4383,2.9%
和歌山,84,4578,1.8%
鳥取,5,2108,0.2%
島根,24,1291,1.9%
岡山,28,2056,1.4%
広島,182,8477,2.1%
山口,37,2739,1.4%
徳島,10,1227,0.8%
香川,30,3045,1.0%
愛媛,82,2682,3.1%
高知,75,2028,3.7%
福岡,924,18126,5.1%
佐賀,47,1725,2.7%
長崎,30,4151,0.7%
熊本,49,4465,1.1%
大分,60,5457,1.1%
宮崎,20,1716,1.2%
鹿児島,155,7150,2.2%
沖縄,148,3326,4.4%
長崎船,149,-,-
合計,22081,488444,4.5%
