都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,41169,768222,1563,23,38377,1377
青森,2465,49728,23,0,2411,31
岩手,1657,83539,51,2,1560,46
宮城,9099,155241,59,4,8944,88
秋田,804,14558,43,1,741,20
山形,2020,64565,19,2,1954,47
福島,4822,275105,111,4,4550,161
茨城,10409,33152,251,6,9996,162
栃木,6902,282500,194,11,6627,81
群馬,8017,190917,52,7,7813,152
埼玉,46004,953586,968,18,44207,829
千葉,39718,670639,1010,16,38005,703
東京,171507,2480169,3970,38,165319,2218
神奈川,66375,1022092,1568,36,63865,942
新潟,3394,167593,48,3,3299,47
富山,2034,72570,68,2,1929,37
石川,3927,120480,49,0,3760,115
福井,1222,65623,151,0,1037,34
山梨,2059,54750,222,0,1816,21
長野,5012,199773,72,2,4922,91
岐阜,9420,266705,158,7,9077,185
静岡,9171,396428,324,4,8697,150
愛知,50749,814830,1344,35,48457,948
三重,5239,142045,101,4,5166,110
滋賀,5535,149262,126,6,5319,90
京都,16519,279286,176,14,16093,240
大阪,102950,2096279,1441,171,98054,2640
兵庫,40796,500215,284,26,39234,1279
奈良,8244,166297,164,6,7951,129
和歌山,2671,41602,17,3,2547,49
鳥取,466,82184,2,0,455,2
島根,551,29812,3,1,547,1
岡山,7584,162012,72,8,7385,126
広島,11458,545235,191,13,11058,171
山口,3125,119622,75,1,2973,77
徳島,1654,64046,11,0,1580,63
香川,2091,84674,29,1,2037,30
愛媛,2752,95427,16,3,2661,75
高知,1777,11140,90,5,1663,24
福岡,35376,819725,588,18,34238,518
佐賀,2553,55922,17,0,2549,24
長崎,3139,122713,72,0,2998,69
熊本,6464,81632,85,7,6266,113
大分,3491,165938,41,1,3388,62
宮崎,3076,44111,20,0,3019,27
鹿児島,3647,110140,59,1,3586,38
沖縄,20472,247247,1351,67,18948,179
(その他),149,-,0,-,149,-
合計,789735,15419331,17349,577,757227,14621
