都道府県名,陽性者数 検査人数,,%
北海道,41169,768222,5.4%
青森,2465,49728,5.0%
岩手,1657,83539,2.0%
宮城,9099,155241,5.9%
秋田,804,14558,5.5%
山形,2020,64565,3.1%
福島,4822,275105,1.8%
茨城,10409,33152,31.4%
栃木,6902,282500,2.4%
群馬,8017,190917,4.2%
埼玉,46004,953586,4.8%
千葉,39718,670639,5.9%
東京,171507,2480169,6.9%
神奈川,66375,1022092,6.5%
新潟,3394,167593,2.0%
富山,2034,72570,2.8%
石川,3927,120480,3.3%
福井,1222,65623,1.9%
山梨,2059,54750,3.8%
長野,5012,199773,2.5%
岐阜,9420,266705,3.5%
静岡,9171,396428,2.3%
愛知,50749,814830,6.2%
三重,5239,142045,3.7%
滋賀,5535,149262,3.7%
京都,16519,279286,5.9%
大阪,102950,2096279,4.9%
兵庫,40796,500215,8.2%
奈良,8244,166297,5.0%
和歌山,2671,41602,6.4%
鳥取,466,82184,0.6%
島根,551,29812,1.8%
岡山,7584,162012,4.7%
広島,11458,545235,2.1%
山口,3125,119622,2.6%
徳島,1654,64046,2.6%
香川,2091,84674,2.5%
愛媛,2752,95427,2.9%
高知,1777,11140,16.0%
福岡,35376,819725,4.3%
佐賀,2553,55922,4.6%
長崎,3139,122713,2.6%
熊本,6464,81632,7.9%
大分,3491,165938,2.1%
宮崎,3076,44111,7.0%
鹿児島,3647,110140,3.3%
沖縄,20472,247247,8.3%
長崎船,149,0,-
合計,789735,15419331,5.1%
