都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,37959,682098,7991,53,29019,1112
青森,2352,44574,249,1,2073,30
岩手,1442,73239,126,2,1271,45
宮城,8854,144143,221,7,8547,83
秋田,755,13804,46,1,695,14
山形,1961,59630,168,5,1752,41
福島,4583,240408,250,11,4189,144
茨城,9734,32662,441,10,9144,149
栃木,6342,262863,304,11,5960,78
群馬,7822,168212,358,17,7326,138
埼玉,43777,878548,1570,44,41423,784
千葉,37146,610711,1019,18,35450,677
東京,160955,2282654,4826,75,154074,2055
神奈川,61516,926964,2005,79,58629,882
新潟,3206,144038,281,7,2889,36
富山,1869,63981,251,9,1583,35
石川,3752,92564,446,11,3200,105
福井,1040,58864,35,0,971,34
山梨,1543,43111,102,1,1422,19
長野,4789,178988,264,8,4509,83
岐阜,8787,237072,708,18,7916,163
静岡,8373,352459,636,6,7600,137
愛知,47090,705846,5208,100,41097,785
三重,4914,123611,355,11,4580,106
滋賀,5107,128852,455,13,4573,79
京都,15800,254560,992,26,14675,210
大阪,99719,1829674,8609,367,87865,2315
兵庫,39676,458138,1848,93,36656,1180
奈良,7891,150366,320,17,7456,115
和歌山,2618,40238,83,23,2436,44
鳥取,465,72783,33,0,423,2
島根,540,26359,77,4,463,0
岡山,7340,138031,992,31,6022,105
広島,10629,400161,1144,27,8690,130
山口,2924,103923,417,6,2445,62
徳島,1631,58313,52,3,1518,61
香川,2003,77279,132,4,1852,24
愛媛,2713,87362,80,4,2561,72
高知,1468,9618,219,4,1229,20
福岡,34104,747095,4002,74,29587,457
佐賀,2503,50066,152,5,2356,19
長崎,2892,111615,140,3,2687,65
熊本,6238,78428,589,21,5552,97
大分,3369,145428,330,5,2992,47
宮崎,3032,42044,125,3,2872,25
鹿児島,3327,101223,292,3,3024,30
沖縄,17044,219572,2569,82,14331,150
(その他),149,-,0,-,149,-
合計,743743,13752172,51512,1323,677733,13044
