都道府県名,陽性者数 検査人数,,%
北海道,37959,682098,5.6%
青森,2352,44574,5.3%
岩手,1442,73239,2.0%
宮城,8854,144143,6.1%
秋田,755,13804,5.5%
山形,1961,59630,3.3%
福島,4583,240408,1.9%
茨城,9734,32662,29.8%
栃木,6342,262863,2.4%
群馬,7822,168212,4.7%
埼玉,43777,878548,5.0%
千葉,37146,610711,6.1%
東京,160955,2282654,7.1%
神奈川,61516,926964,6.6%
新潟,3206,144038,2.2%
富山,1869,63981,2.9%
石川,3752,92564,4.1%
福井,1040,58864,1.8%
山梨,1543,43111,3.6%
長野,4789,178988,2.7%
岐阜,8787,237072,3.7%
静岡,8373,352459,2.4%
愛知,47090,705846,6.7%
三重,4914,123611,4.0%
滋賀,5107,128852,4.0%
京都,15800,254560,6.2%
大阪,99719,1829674,5.5%
兵庫,39676,458138,8.7%
奈良,7891,150366,5.2%
和歌山,2618,40238,6.5%
鳥取,465,72783,0.6%
島根,540,26359,2.0%
岡山,7340,138031,5.3%
広島,10629,400161,2.7%
山口,2924,103923,2.8%
徳島,1631,58313,2.8%
香川,2003,77279,2.6%
愛媛,2713,87362,3.1%
高知,1468,9618,15.3%
福岡,34104,747095,4.6%
佐賀,2503,50066,5.0%
長崎,2892,111615,2.6%
熊本,6238,78428,8.0%
大分,3369,145428,2.3%
宮崎,3032,42044,7.2%
鹿児島,3327,101223,3.3%
沖縄,17044,219572,7.8%
長崎船,149,0,-
合計,743743,13752172,5.4%
