都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,1814,46499,103,2,1607,104
青 森,35,2104,2,0,32,1
岩手,23,3380,6,0,17,0
宮城,231,8173,37,0,192,2
秋  田,50,1816,3,0,47,0
山形,78,3126,2,1,76,1
福島,175,15723,49,2,126,0
茨城,573,11063,60,3,499,14
栃木,309,23646,20,3,292,1
群馬,474,15468,63,0,392,19
埼玉,4101,114373,445,11,3564,92
千葉,3188,58879,349,10,2776,63
東京,21656,348595,2412,27,18875,369
神奈川,5352,120662,589,22,4637,126
新潟,146,13222,9,1,137,0
富山,402,9850,54,1,333,25
石川,697,9317,129,2,568,37
福井,241,8766,70,5,163,8
山梨,174,9693,11,1,158,5
長野,286,15833,65,0,226,1
岐阜,564,18877,23,2,531,10
静岡,487,26858,35,2,451,1
愛知,4637,57481,587,19,3977,73
三重,399,10326,58,3,339,2
滋賀,462,9755,59,3,396,7
京都,1512,32853,147,3,1340,25
大阪,8976,144989,938,47,7868,163
兵庫,2335,46553,121,8,2160,54
奈良,534,15262,43,3,483,8
和歌山,232,8751,3,0,222,4
鳥取,22,4580,0,0,22,0
島根,137,4973,1,0,137,0
岡山,146,7049,4,-,141,-
広島,459,18176,11,0,445,3
山口,181,7236,73,0,108,0
徳島,145,6291,63,2,77,4
香川,84,8677,11,0,72,1
愛媛,114,3855,1,0,107,6
高知,131,3201,12,1,116,3
福岡,4782,42849,717,15,3997,68
佐賀,240,5265,10,0,230,0
長崎,234,15430,23,0,201,3
熊本,540,12165,57,1,468,7
大分,157,13460,19,0,136,2
宮崎,338,8161,20,0,318,1
鹿児島,370,16322,49,1,302,11
沖縄,2220,25134,345,10,1847,32
(その他),149,-,0,-,149,-
合計,70592,1414717,7908,211,61357,1356
