都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,12618,221431,1666,28,10571,415
青森,407,8815,33,2,368,6
岩手,348,13412,88,3,238,22
宮城,1888,23979,385,5,1490,13
秋田,105,3981,11,0,93,1
山形,345,9840,99,6,243,3
福島,801,52405,185,5,601,15
茨城,2226,18395,234,10,1957,35
栃木,1130,67978,258,13,872,6
群馬,2044,49855,356,10,1653,35
埼玉,12466,299420,2385,40,9890,191
千葉,9700,215977,1518,19,8071,111
東京,54018,943733,6259,73,47172,587
神奈川,18227,330515,2253,59,15725,249
新潟,472,26589,76,0,396,3
富山,517,20986,37,1,454,26
石川,998,28122,95,4,860,50
福井,339,18198,12,2,316,11
山梨,502,14393,43,2,449,10
長野,1071,44772,101,2,965,12
岐阜,1895,60108,380,7,1488,27
静岡,2480,87010,456,5,1989,35
愛知,14648,187452,2167,40,12304,177
三重,1187,26913,145,3,1027,15
滋賀,985,34974,115,1,859,11
京都,3998,85844,794,19,3196,44
大阪,28101,431240,3491,161,24093,517
兵庫,8605,127869,958,43,7501,146
奈良,1782,45756,295,11,1467,20
和歌山,590,16018,26,5,546,7
鳥取,79,22166,14,0,64,0
島根,189,8556,19,1,170,0
岡山,1186,27231,384,8,762,13
広島,2571,63829,407,15,1395,18
山口,494,26760,76,2,411,3
徳島,194,14581,6,0,179,9
香川,258,21873,68,0,187,3
愛媛,389,10961,37,4,341,11
高知,592,5471,191,3,395,6
福岡,7852,248984,1140,15,6595,117
佐賀,433,14290,53,1,382,3
長崎,457,36313,132,2,295,3
熊本,1545,32438,157,3,1286,15
大分,596,39423,73,5,518,5
宮崎,686,12057,73,0,613,5
鹿児島,890,35610,95,1,795,13
沖縄,5095,85518,308,5,4712,80
(その他),149,-,0,-,149,-
合計,208148,4222041,28154,644,176103,3104
