,2020-03-25,対前日比,うち現在は入院等,,うち退院,,うち死亡,
東京都,201,41,170,85%,27,13%,5,2%
北海道,166,4,61,37%,98,59%,7,4%
愛知県,144,5,91,63%,36,25%,18,13%
大阪府,129,6,90,70%,37,29%,2,2%
兵庫県,87,0,77,89%,5,6%,6,7%
神奈川県,77,4,56,73%,17,22%,4,5%
埼玉県,53,0,40,75%,12,23%,1,2%
千葉県,51,5,34,67%,17,33%,0,0%
京都府,27,4,20,74%,7,26%,0,0%
新潟県,24,0,21,88%,3,13%,0,0%
大分県,16,0,15,94%,1,6%,0,0%
和歌山県,15,0,5,33%,9,60%,1,7%
群馬県,13,0,12,92%,0,0%,1,8%
岐阜県,12,1,11,92%,1,8%,0,0%
高知県,11,0,0,0%,11,100%,0,0%
茨城県,9,4,9,100%,0,0%,0,0%
福岡県,9,0,7,78%,2,22%,0,0%
熊本県,6,0,4,67%,2,33%,0,0%
石川県,6,0,3,50%,3,50%,0,0%
栃木県,6,0,4,67%,2,33%,0,0%
三重県,6,0,4,67%,2,33%,0,0%
奈良県,5,0,2,40%,3,60%,0,0%
滋賀県,5,0,4,80%,1,20%,0,0%
青森県,4,2,4,100%,0,0%,0,0%
沖縄県,4,0,2,50%,2,50%,0,0%
長野県,4,0,2,50%,2,50%,0,0%
山梨県,4,0,3,75%,1,25%,0,0%
福井県,3,2,3,100%,0,0%,0,0%
山口県,3,1,3,100%,0,0%,0,0%
静岡県,3,0,1,33%,2,67%,0,0%
宮崎県,3,0,2,67%,1,33%,0,0%
広島県,3,0,2,67%,1,33%,0,0%
愛媛県,2,0,1,50%,1,50%,0,0%
福島県,2,0,2,100%,0,0%,0,0%
長崎県,1,1,1,100%,0,0%,0,0%
秋田県,1,0,0,0%,1,100%,0,0%
宮城県,1,0,0,0%,1,100%,0,0%
岡山県,1,0,1,100%,0,0%,0,0%
香川県,1,0,1,100%,0,0%,0,0%
佐賀県,1,0,1,100%,0,0%,0,0%
総計,1119,80,769,69%,308,28%,45,4%
