都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,19341,392200,564,6,18090,690
青森,820,17718,24,0,776,20
岩手,555,27687,2,0,523,30
宮城,3708,70261,140,5,3543,25
秋田,269,7096,1,0,262,6
山形,543,27916,12,0,516,15
福島,2060,117369,190,8,1793,77
茨城,5941,25001,356,6,5469,116
栃木,4145,129645,107,1,3970,68
群馬,4578,96668,191,5,4301,86
埼玉,29820,566775,1256,39,27956,608
千葉,27015,422859,1379,21,25166,470
東京,112925,1574160,2884,49,108587,1454
神奈川,45442,612720,1031,28,43706,705
新潟,1105,45928,77,1,1013,15
富山,907,37151,9,1,870,28
石川,1876,53204,103,7,1730,62
福井,545,32535,3,0,517,25
山梨,941,27101,4,0,920,17
長野,2368,101091,16,0,2343,41
岐阜,4762,139551,125,9,4525,112
静岡,5222,206239,189,0,4938,95
愛知,26048,403390,586,29,24927,535
三重,2554,67122,111,6,2464,57
滋賀,2538,75638,157,4,2334,47
京都,9079,159089,154,2,8781,158
大阪,47512,820213,907,75,45061,1132
兵庫,18094,255205,354,39,17186,554
奈良,3388,84240,63,5,3278,47
和歌山,1167,24705,11,0,1114,18
鳥取,210,42207,3,0,202,2
島根,284,16183,3,0,281,0
岡山,2509,69524,44,1,2419,33
広島,5037,165220,31,1,4899,103
山口,1385,60724,39,0,1306,40
徳島,460,27351,29,2,415,16
香川,757,45717,17,0,722,18
愛媛,1066,33999,28,2,1015,23
高知,901,7132,17,2,866,18
福岡,18171,454241,472,16,17396,303
佐賀,1077,28746,54,1,1034,8
長崎,1612,69022,13,0,1562,37
熊本,3455,56893,32,1,3347,72
大分,1297,81929,20,0,1255,22
宮崎,1953,24794,16,1,1930,21
鹿児島,1762,68410,21,1,1741,27
沖縄,8277,148647,275,1,7887,120
(その他),149,-,0,-,149,-
合計,435630,8021216,12120,375,415085,8176
