都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,40120,723117,5116,36,34094,1252
青森,2442,47484,111,2,2301,30
岩手,1548,78914,98,0,1404,46
宮城,9004,150077,158,8,8754,84
秋田,761,14044,17,1,726,18
山形,2003,61748,67,4,1890,46
福島,4689,257885,144,7,4390,155
茨城,10012,32946,285,12,9570,157
栃木,6603,270990,250,9,6273,80
群馬,7959,181572,175,10,7637,147
埼玉,44805,911462,1129,37,42866,810
千葉,38107,636018,949,19,36465,693
東京,165163,2366983,3693,55,159336,2134
神奈川,63558,967655,1817,54,60821,920
新潟,3331,152690,156,3,3129,46
富山,1948,68098,96,8,1815,37
石川,3861,106327,148,3,3600,110
福井,1058,60987,21,0,1004,34
山梨,1745,44960,199,1,1526,20
長野,4914,188811,145,3,4750,87
岐阜,9204,252389,440,20,8589,175
静岡,8759,372339,441,8,8175,143
愛知,49275,758557,3279,86,45130,866
三重,5100,129213,231,9,4897,108
滋賀,5373,138588,344,10,4946,83
京都,16261,265403,443,19,15551,226
大阪,101424,1929716,6124,221,91924,2501
兵庫,40356,477973,876,64,38239,1246
奈良,8042,158031,181,10,7741,120
和歌山,2647,40959,30,8,2514,47
鳥取,466,75524,11,0,446,2
島根,548,27832,25,2,523,0
岡山,7521,148791,578,18,6712,119
広島,11101,513008,451,17,10287,146
山口,3045,108624,203,3,2773,69
徳島,1636,60870,15,0,1558,63
香川,2058,80638,79,5,1958,26
愛媛,2735,89604,29,4,2631,75
高知,1637,10493,153,11,1463,21
福岡,34832,780559,2009,47,32295,488
佐賀,2535,52328,57,1,2491,23
長崎,3030,116598,151,1,2811,68
熊本,6377,80032,224,13,6045,108
大分,3453,155422,115,3,3280,58
宮崎,3051,43572,34,2,2980,27
鹿児島,3546,106607,222,2,3313,33
沖縄,19102,230247,2424,86,16528,156
(その他),149,-,0,-,149,-
合計,766894,14526685,33943,942,718300,13903
