都道府県名,陽性者数 検査人数,,%
北海道,1057,12497,8.5%
青森,27,834,3.2%
岩手,0,629,0.0%
宮城,88,2850,3.1%
秋田,16,928,1.7%
山形,69,2629,2.6%
福島,81,4027,2.0%
茨城,168,4540,3.7%
栃木,65,3549,1.8%
群馬,149,3513,4.2%
埼玉,1000,19092,5.2%
千葉,904,14057,6.4%
東京,5170,14876,34.8%
神奈川,1336,9073,14.7%
新潟,83,4085,2.0%
富山,227,3103,7.3%
石川,296,2636,11.2%
福井,122,2510,4.9%
山梨,60,3752,1.6%
⾧野,76,2610,2.9%
岐阜,150,3422,4.4%
静岡,75,3454,2.2%
愛知,507,9762,5.2%
三重,45,2462,1.8%
滋賀,100,1743,5.7%
京都,358,7703,4.6%
大阪,1781,29307,6.1%
兵庫,699,10722,6.5%
奈良,91,2754,3.3%
和歌山,63,3633,1.7%
鳥取,3,1309,0.2%
島根,24,1088,2.2%
岡山,25,1655,1.5%
広島,167,6794,2.5%
山口,37,1667,2.2%
徳島,5,711,0.7%
香川,28,2112,1.3%
愛媛,81,1959,4.1%
高知,74,1753,4.2%
福岡,672,11886,5.7%
佐賀,47,1386,3.4%
⾧崎,17,2684,0.6%
熊本,48,3863,1.2%
大分,60,3877,1.5%
宮崎,17,1358,1.3%
鹿児島,10,1739,0.6%
沖縄,142,2829,5.0%
⾧崎船,149  -,,-
合計,16469,235422,7.0%
