都道府県名,PCR検査,PCR検査,入院治療等を,,退院又は療養解除,死亡(累積)
北 海 道,1057,12497,238,15,736,83
青   森,27,834,2,0,24,1
岩    手,0,629,0,0,0,0
宮    城,88,2850,1,0,86,1
秋  田,16,928,0,0,16,0
山    形,69,2629,3,1,66,0
福    島,81,4027,9,0,72,0
茨    城,168,4540,11,0,145,10
栃    木,65,3549,18,4,47,0
群    馬,149,3513,15,1,115,19
埼    玉,1000,19092,83,6,870,47
千    葉,904,14057,80,6,780,44
東    京,5170,14876,499,33,4379,292
神 奈 川,1336,9073,248,27,1012,76
新    潟,83,4085,8,0,74,0
富    山,227,3103,24,0,182,21
石    川,296,2636,61,3,211,24
福    井,122,2510,5,2,109,8
山    梨,60,3752,2,0,57,1
⾧    野,76,2610,11,1,65,-
岐    阜,150,3422,3,1,140,7
静    岡,75,3454,3,1,71,1
愛    知,507,9762,24,0,444,34
三    重,45,2462,3,0,41,1
滋    賀,100,1743,10,1,89,1
京    都,358,7703,25,2,318,15
大    阪,1781,29307,188,23,1502,80
兵    庫,699,10722,44,10,615,40
奈    良,91,2754,5,0,84,2
和 歌 山,63,3633,5,0,55,3
鳥    取,3,1309,0,0,3,0
島    根,24,1088,4,1,20,0
岡    山,25,1655,0,-,25,-
広    島,167,6794,18,0,146,3
山    口,37,1667,2,1,35,0
徳    島,5,711,0,0,4,1
香    川,28,2112,0,0,28,0
愛    媛,81,1959,32,0,45,4
高    知,74,1753,1,0,70,3
福    岡,672,11886,51,5,596,25
佐    賀,47,1386,10,0,35,0
⾧    崎,17,2684,0,0,16,1
熊    本,48,3863,7,0,38,3
大    分,60,3877,2,0,57,1
宮    崎,17,1358,0,0,17,0
鹿 児 島,10,1739,0,0,10,0
沖    縄,142,2829,5,3,135,6
(その他),149,-,28,-,121,-
合計,16469,235422,1788,147,13806,858
