都道府県名,PCR検査,PCR検査,入院治療等を,,退院又は療養解除,死亡(累積)
北 海 道,1066,12686,227,12,755,84
青   森,27,839,2,0,24,1
岩    手,0,632,0,0,0,0
宮    城,88,2868,0,0,87,1
秋  田,16,929,0,0,16,0
山    形,69,2640,3,1,66,0
福    島,81,4109,7,0,74,0
茨    城,168,4574,11,0,147,10
栃    木,65,3617,17,2,48,0
群    馬,149,3538,14,1,116,19
埼    玉,1000,19289,78,6,875,47
千    葉,905,14122,74,5,787,44
東    京,5180,14883,471,31,4413,296
神 奈 川,1341,9225,229,28,1034,78
新    潟,83,4104,7,0,75,0
富    山,227,3122,20,0,185,22
石    川,296,2656,61,3,211,24
福    井,122,2545,5,2,109,8
山    梨,60,3801,2,0,57,1
長    野,76,2630,11,1,65,-
岐    阜,150,3466,3,1,140,7
静    岡,75,3468,3,1,71,1
愛    知,507,9819,18,0,450,34
三    重,45,2466,3,0,41,1
滋    賀,100,1776,10,1,89,1
京    都,358,7773,20,2,322,16
大    阪,1782,29739,166,21,1525,80
兵    庫,699,10855,41,6,618,40
奈    良,92,2545,6,0,84,2
和 歌 山,63,3651,4,0,56,3
鳥    取,3,1314,0,0,3,0
島    根,24,1098,4,1,20,0
岡    山,25,1664,0,-,25,-
広    島,167,6841,17,0,147,3
山    口,37,1669,2,1,35,0
徳    島,5,719,0,0,4,1
香    川,28,2131,0,0,28,0
愛    媛,81,1982,30,1,47,4
高    知,74,1755,1,0,70,3
福    岡,674,12010,42,6,607,25
佐    賀,47,1389,10,0,35,0
長    崎,17,2699,0,0,16,1
熊    本,48,3878,7,0,38,3
大    分,60,3908,1,0,58,1
宮    崎,17,1362,0,0,17,0
鹿 児 島,10,1745,0,0,10,0
沖    縄,142,2836,5,3,135,6
(その他),149,-,5,-,144,-
合計,16498,237367,1637,136,13979,867
