都道府県名,陽性者数 検査人数,,%
北海道,1066,12686,8.4%
青森,27,839,3.2%
岩手,0,632,0.0%
宮城,88,2868,3.1%
秋田,16,929,1.7%
山形,69,2640,2.6%
福島,81,4109,2.0%
茨城,168,4574,3.7%
栃木,65,3617,1.8%
群馬,149,3538,4.2%
埼玉,1000,19289,5.2%
千葉,905,14122,6.4%
東京,5180,14883,34.8%
神奈川,1341,9225,14.5%
新潟,83,4104,2.0%
富山,227,3122,7.3%
石川,296,2656,11.1%
福井,122,2545,4.8%
山梨,60,3801,1.6%
長野,76,2630,2.9%
岐阜,150,3466,4.3%
静岡,75,3468,2.2%
愛知,507,9819,5.2%
三重,45,2466,1.8%
滋賀,100,1776,5.6%
京都,358,7773,4.6%
大阪,1782,29739,6.0%
兵庫,699,10855,6.4%
奈良,92,2545,3.6%
和歌山,63,3651,1.7%
鳥取,3,1314,0.2%
島根,24,1098,2.2%
岡山,25,1664,1.5%
広島,167,6841,2.4%
山口,37,1669,2.2%
徳島,5,719,0.7%
香川,28,2131,1.3%
愛媛,81,1982,4.1%
高知,74,1755,4.2%
福岡,674,12010,5.6%
佐賀,47,1389,3.4%
長崎,17,2699,0.6%
熊本,48,3878,1.2%
大分,60,3908,1.5%
宮崎,17,1362,1.2%
鹿児島,10,1745,0.6%
沖縄,142,2836,5.0%
長崎船,149,-,-
合計,16498,237367,7.0%
