都道府県名,陽性者数 検査人数,,%
北海道,18171,340246,5.3%
青森,750,15703,4.8%
岩手,516,21661,2.4%
宮城,3478,49497,7.0%
秋田,269,6876,3.9%
山形,527,16108,3.3%
福島,1788,93246,1.9%
茨城,5213,24100,21.6%
栃木,3898,114470,3.4%
群馬,4149,80828,5.1%
埼玉,27004,489778,5.5%
千葉,23989,360378,6.7%
東京,104533,1394055,7.5%
神奈川,42544,531998,8.0%
新潟,965,38653,2.5%
富山,882,32888,2.7%
石川,1580,44128,3.6%
福井,528,28583,1.8%
山梨,914,14741,6.2%
長野,2340,89440,2.6%
岐阜,4480,114571,3.9%
静岡,4774,159633,3.0%
愛知,24695,343230,7.2%
三重,2343,52085,4.5%
滋賀,2261,62642,3.6%
京都,8771,140204,6.3%
大阪,45350,692573,6.5%
兵庫,17165,218372,7.9%
奈良,3217,74191,4.3%
和歌山,1113,22803,4.9%
鳥取,207,36612,0.6%
島根,278,13515,2.1%
岡山,2415,55878,4.3%
広島,4899,139933,3.5%
山口,1323,49814,2.7%
徳島,397,23174,1.7%
香川,706,40339,1.8%
愛媛,1023,27743,3.7%
高知,864,6969,12.4%
福岡,16892,394980,4.3%
佐賀,986,25329,3.9%
長崎,1565,61489,2.5%
熊本,3388,55083,6.2%
大分,1237,70251,1.8%
宮崎,1891,24235,7.8%
鹿児島,1675,59643,2.8%
沖縄,7901,133750,5.9%
長崎船,149,0,-
合計,406003,6886418,5.9%
