都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,18171,340246,1157,11,16496,627
青森,750,15703,43,1,694,13
岩手,516,21661,22,1,465,29
宮城,3478,49497,119,7,3336,23
秋田,269,6876,34,0,231,4
山形,527,16108,47,1,467,13
福島,1788,93246,134,8,1595,59
茨城,5213,24100,503,17,4629,81
栃木,3898,114470,239,12,3602,57
群馬,4149,80828,327,10,3746,76
埼玉,27004,489778,3156,52,23424,424
千葉,23989,360378,3659,44,20026,304
東京,104533,1394055,5974,104,97506,1053
神奈川,42544,531998,1709,57,40274,561
新潟,965,38653,77,2,875,13
富山,882,32888,20,3,835,27
石川,1580,44128,158,0,1388,60
福井,528,28583,42,2,463,23
山梨,914,14741,18,2,881,15
長野,2340,89440,80,1,2251,39
岐阜,4480,114571,335,12,4061,84
静岡,4774,159633,241,2,4446,87
愛知,24695,343230,1680,48,22565,450
三重,2343,52085,253,13,2052,38
滋賀,2261,62642,214,7,2014,33
京都,8771,140204,914,5,7795,136
大阪,45350,692573,3072,146,41257,1021
兵庫,17165,218372,1074,67,15643,448
奈良,3217,74191,215,8,2960,42
和歌山,1113,22803,56,8,1020,15
鳥取,207,36612,19,1,183,2
島根,278,13515,12,0,266,0
岡山,2415,55878,143,5,2199,24
広島,4899,139933,162,8,4632,96
山口,1323,49814,175,0,1118,30
徳島,397,23174,28,3,354,15
香川,706,40339,96,1,593,17
愛媛,1023,27743,77,1,924,22
高知,864,6969,15,1,832,17
福岡,16892,394980,1697,37,14976,219
佐賀,986,25329,61,1,937,6
長崎,1565,61489,169,3,1365,35
熊本,3388,55083,123,15,3163,66
大分,1237,70251,118,0,1101,18
宮崎,1891,24235,115,3,1749,20
鹿児島,1675,59643,83,3,1582,19
沖縄,7901,133750,534,3,7278,94
(その他),149,-,0,-,149,-
合計,406003,6886418,29199,736,370398,6555
