都道府県名,陽性者数 検査人数,,%
北海道,1399,27517,5.1%
青森,31,1410,2.2%
岩手,0,1438,0.0%
宮城,149,5668,2.6%
秋田,18,1115,1.6%
山形,75,2875,2.6%
福島,87,9499,0.9%
茨城,266,6889,3.9%
栃木,169,12860,1.3%
群馬,183,7869,2.3%
埼玉,2199,63477,3.5%
千葉,1571,26976,5.8%
東京,11861,176038,6.7%
神奈川,2356,17592,13.4%
新潟,99,6188,1.6%
富山,236,5165,4.6%
石川,316,3225,9.8%
福井,135,4729,2.9%
山梨,90,7130,1.3%
長野,102,6593,1.5%
岐阜,295,9692,3.0%
静岡,234,12049,1.9%
愛知,1282,21258,6.0%
三重,77,3977,1.9%
滋賀,163,4162,3.9%
京都,708,16927,4.2%
大阪,3651,68263,5.3%
兵庫,1059,24520,4.3%
奈良,221,8733,2.5%
和歌山,140,5954,2.4%
鳥取,10,2538,0.4%
島根,29,2782,1.0%
岡山,71,2765,2.6%
広島,286,11265,2.5%
山口,53,3779,1.4%
徳島,18,1621,1.1%
香川,46,4579,1.0%
愛媛,89,2930,3.0%
高知,80,2228,3.6%
福岡,1535,22681,6.8%
佐賀,72,2252,3.2%
長崎,61,6270,1.0%
熊本,157,5250,3.0%
大分,62,6408,1.0%
宮崎,106,3246,3.3%
鹿児島,232,10026,2.3%
沖縄,231,7034,3.3%
長崎船,149,-,-
合計,32459,667442,4.9%
