都道府県名,陽性者数 検査人数,,%
北海道,1698,39136,4.3%
青森,33,1870,1.8%
岩手,11,2467,0.4%
宮城,191,7438,2.6%
秋田,45,1652,2.7%
山形,77,3055,2.5%
福島,125,13050,1.0%
茨城,503,9791,5.1%
栃木,289,20152,1.4%
群馬,380,12059,3.2%
埼玉,3562,97120,3.7%
千葉,2774,49670,5.6%
東京,19333,284343,6.8%
神奈川,4420,100213,4.4%
新潟,139,11730,1.2%
富山,341,6984,4.9%
石川,556,6510,8.5%
福井,163,6389,2.6%
山梨,162,9028,1.8%
長野,172,11995,1.4%
岐阜,539,16662,3.2%
静岡,433,21516,2.0%
愛知,4137,46351,8.9%
三重,337,8578,3.9%
滋賀,391,7791,5.0%
京都,1243,26619,4.7%
大阪,7841,120078,6.5%
兵庫,2105,39941,5.3%
奈良,490,12714,3.9%
和歌山,225,8305,2.7%
鳥取,22,4456,0.5%
島根,134,4598,2.9%
岡山,138,5880,2.3%
広島,450,16687,2.7%
山口,111,5726,1.9%
徳島,106,4857,2.2%
香川,71,7112,1.0%
愛媛,114,3684,3.1%
高知,109,2749,4.0%
福岡,4055,37582,10.8%
佐賀,222,4467,5.0%
長崎,201,12347,1.6%
熊本,471,10146,4.6%
大分,138,10927,1.3%
宮崎,317,7335,4.3%
鹿児島,342,14082,2.4%
沖縄,1889,22437,8.4%
長崎船,149,0,-
合計,61754,1178279,5.2%
