都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,1698,39136,130,2,1465,103
青 森,33,1870,0,0,32,1
岩手,11,2467,5,0,6,0
宮城,191,7438,9,0,180,2
秋  田,45,1652,11,0,34,0
山形,77,3055,1,0,76,1
福島,125,13050,30,0,95,0
茨城,503,9791,75,2,417,11
栃木,289,20152,32,2,255,1
群馬,380,12059,132,0,229,19
埼玉,3562,97120,601,13,2875,86
千葉,2774,49670,501,9,2214,59
東京,19333,284343,3257,39,15726,350
神奈川,4420,100213,716,22,3597,107
新潟,139,11730,12,0,127,0
富山,341,6984,66,3,259,23
石川,556,6510,158,2,377,31
福井,163,6389,13,1,142,8
山梨,162,9028,36,0,125,1
長野,172,11995,31,1,145,-
岐阜,539,16662,51,5,479,9
静岡,433,21516,51,2,381,1
愛知,4137,46351,1117,26,2966,54
三重,337,8578,84,2,250,2
滋賀,391,7791,106,2,281,4
京都,1243,26619,239,4,983,21
大阪,7841,120078,1724,68,5983,129
兵庫,2105,39941,278,13,1778,49
奈良,490,12714,144,2,343,3
和歌山,225,8305,36,1,183,4
鳥取,22,4456,8,0,14,0
島根,134,4598,68,0,71,0
岡山,138,5880,16,-,110,-
広島,450,16687,28,1,419,3
山口,111,5726,35,0,76,0
徳島,106,4857,57,1,43,1
香川,71,7112,10,0,60,1
愛媛,114,3684,10,0,98,6
高知,109,2749,19,0,86,3
福岡,4055,37582,866,15,3141,48
佐賀,222,4467,45,0,177,0
長崎,201,12347,28,-,36,3
熊本,471,10146,97,3,360,7
大分,138,10927,44,0,93,1
宮崎,317,7335,81,0,236,1
鹿児島,342,14082,66,2,264,8
沖縄,1889,22437,594,16,1280,19
(その他),149,-,0,-,149,-
合計,61754,1178279,11718,259,48716,1180
