都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,1781,44276,120,2,1558,103
青 森,35,2036,2,0,32,1
岩手,19,3118,10,0,9,0
宮城,207,7886,15,0,190,2
秋  田,49,1787,4,0,45,0
山形,78,3105,2,1,76,1
福島,167,14935,58,1,109,0
茨城,549,10845,62,2,474,13
栃木,306,22354,23,3,284,1
群馬,445,14568,83,0,338,19
埼玉,3975,107626,537,11,3348,90
千葉,3068,56338,370,9,2635,63
東京,20987,327856,2565,29,18058,364
神奈川,5020,115627,570,23,4327,123
新潟,144,12646,8,0,136,0
富山,394,7776,75,0,301,25
石川,653,8106,136,2,484,33
福井,232,7966,68,3,154,8
山梨,173,9559,15,1,154,4
長野,261,14562,80,0,180,-
岐阜,558,18158,23,3,525,10
静岡,482,25953,46,1,435,1
愛知,4535,54272,723,17,3747,65
三重,380,9868,73,3,305,2
滋賀,452,9273,89,5,357,6
京都,1452,31696,169,1,1260,23
大阪,8656,136336,1228,61,7268,155
兵庫,2276,44670,167,13,2056,53
奈良,523,12972,44,3,473,6
和歌山,230,8627,6,0,217,4
鳥取,22,4557,0,0,22,0
島根,137,4890,4,0,133,0
岡山,145,5880,14,-,128,-
広島,458,17843,14,0,441,3
山口,170,6930,81,0,89,0
徳島,133,5935,62,3,62,4
香川,77,8176,7,0,69,1
愛媛,114,3813,2,0,106,6
高知,128,3051,19,1,104,3
福岡,4598,40915,893,14,3643,62
佐賀,237,5132,18,0,220,0
長崎,232,14766,22,1,185,3
熊本,524,11485,68,0,435,7
大分,147,12462,15,0,130,2
宮崎,337,8080,35,0,302,1
鹿児島,362,15890,53,1,297,11
沖縄,2139,25614,430,11,1685,28
(その他),149,-,0,-,149,-
合計,68196,1340216,9108,225,57735,1306
