都道府県名,陽性者数 検査人数,,%
北海道,1781,44276,4.0%
青森,35,2036,1.7%
岩手,19,3118,0.6%
宮城,207,7886,2.6%
秋田,49,1787,2.7%
山形,78,3105,2.5%
福島,167,14935,1.1%
茨城,549,10845,5.1%
栃木,306,22354,1.4%
群馬,445,14568,3.1%
埼玉,3975,107626,3.7%
千葉,3068,56338,5.4%
東京,20987,327856,6.4%
神奈川,5020,115627,4.3%
新潟,144,12646,1.1%
富山,394,7776,5.1%
石川,653,8106,8.1%
福井,232,7966,2.9%
山梨,173,9559,1.8%
長野,261,14562,1.8%
岐阜,558,18158,3.1%
静岡,482,25953,1.9%
愛知,4535,54272,8.4%
三重,380,9868,3.9%
滋賀,452,9273,4.9%
京都,1452,31696,4.6%
大阪,8656,136336,6.3%
兵庫,2276,44670,5.1%
奈良,523,12972,4.0%
和歌山,230,8627,2.7%
鳥取,22,4557,0.5%
島根,137,4890,2.8%
岡山,145,5880,2.5%
広島,458,17843,2.6%
山口,170,6930,2.5%
徳島,133,5935,2.2%
香川,77,8176,0.9%
愛媛,114,3813,3.0%
高知,128,3051,4.2%
福岡,4598,40915,11.2%
佐賀,237,5132,4.6%
長崎,232,14766,1.6%
熊本,524,11485,4.6%
大分,147,12462,1.2%
宮崎,337,8080,4.2%
鹿児島,362,15890,2.3%
沖縄,2139,25614,8.4%
長崎船,149,0,-
合計,68196,1340216,5.1%
