都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,23160,509854,1194,24,21072,832
青森,1462,31260,250,0,1191,21
岩手,838,54323,70,1,737,31
宮城,7867,115217,684,15,7101,59
秋田,413,9637,71,0,333,9
山形,1423,44988,182,5,1211,30
福島,3181,179405,339,11,2721,121
茨城,7811,28924,537,11,7143,131
栃木,5199,194732,191,4,4938,70
群馬,5686,131991,293,4,5290,103
埼玉,36673,732366,2111,32,33825,737
千葉,32357,533397,1234,14,30508,615
東京,134538,1962066,6049,51,126617,1872
神奈川,52190,779963,1871,28,49511,808
新潟,2145,101809,373,2,1754,18
富山,1244,48632,149,5,1066,29
石川,2346,68927,271,11,2005,68
福井,843,45182,173,2,637,33
山梨,1113,35312,65,1,1029,19
長野,3715,141593,403,4,3292,58
岐阜,5593,181746,360,4,5103,130
静岡,6284,280654,246,3,5902,121
愛知,31394,530413,2596,20,28180,618
三重,3490,91905,498,16,3004,77
滋賀,3499,100656,512,5,2926,61
京都,11427,203699,1142,12,10142,181
大阪,74509,1332372,16124,348,56378,1340
兵庫,28131,359038,4365,89,23113,653
奈良,5678,118912,1057,21,4552,69
和歌山,2010,30171,383,55,1573,22
鳥取,352,59150,70,0,275,2
島根,329,19437,33,0,296,0
岡山,3536,95544,396,11,2907,37
広島,5620,232883,240,3,5253,109
山口,1697,77872,225,0,1429,43
徳島,1115,40789,371,7,712,32
香川,1146,59782,145,4,986,20
愛媛,2164,57490,390,9,1744,30
高知,982,7705,27,0,936,19
福岡,21260,577100,1678,14,19237,345
佐賀,1452,36180,179,0,1280,13
長崎,1923,88894,254,1,1635,40
熊本,3767,62103,203,5,3487,77
大分,1578,106061,213,1,1333,24
宮崎,2124,28570,86,0,2008,22
鹿児島,2010,79790,82,0,1921,28
沖縄,12069,185656,1289,11,10653,133
(その他),149,-,0,-,149,-
合計,559492,10794150,49674,864,499095,9910
