都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,8022,139729,2248,21,5603,171
青 森,287,6569,16,2,265,6
岩手,179,8810,93,1,85,1
宮城,1168,18491,190,7,969,9
秋  田,89,3500,18,0,70,1
山形,116,7409,13,1,97,1
福島,490,39101,59,6,425,6
茨城,1442,16407,346,11,1077,19
栃木,607,52980,81,6,526,2
群馬,1148,35312,171,4,956,21
埼玉,8104,230484,1190,29,6776,138
千葉,6751,160899,825,11,5840,86
東京,39649,743888,3743,61,35418,488
神奈川,12112,249352,1346,59,10574,192
新潟,326,21992,99,0,227,0
富山,453,16966,20,0,407,26
石川,846,21523,15,0,781,50
福井,312,14493,31,0,270,11
山梨,336,13459,46,3,282,8
長野,670,30587,107,0,534,6
岐阜,1014,32891,164,1,836,14
静岡,1447,55546,533,6,910,4
愛知,9398,135512,1661,22,7624,113
三重,797,19848,167,5,623,7
滋賀,773,27121,84,1,680,9
京都,2585,64192,267,5,2281,37
大阪,19167,313767,3524,107,15322,302
兵庫,5211,91975,744,31,4388,79
奈良,1087,31912,206,6,870,11
和歌山,428,12996,79,8,337,6
鳥取,58,16298,8,0,49,0
島根,145,6772,5,0,140,0
岡山,568,19205,156,3,363,11
広島,785,34211,62,2,714,6
山口,372,17013,112,2,254,2
徳島,181,7779,11,1,162,9
香川,135,16584,17,0,116,2
愛媛,296,6776,149,3,141,6
高知,149,3747,4,0,141,4
福岡,5644,196941,231,3,5306,107
佐賀,300,9506,19,0,283,1
長崎,265,26604,17,0,247,3
熊本,999,23481,66,6,903,13
大分,255,26669,70,0,182,3
宮崎,477,9431,93,2,384,1
鹿児島,607,27152,40,0,567,13
沖縄,4169,71380,362,4,3744,68
(その他),149,-,0,-,149,-
合計,140568,3137260,19508,440,118898,2073
