都道府県名,陽性者数 検査人数,,%
北海道,8022,139729,5.7%
青森,287,6569,4.4%
,179,8810,2.0%
宮城,1168,18491,6.3%
秋田,89,3500,2.5%
山形,116,7409,1.6%
福島,490,39101,1.3%
茨城,1442,16407,8.8%
栃木,607,52980,1.1%
群馬,1148,35312,3.3%
埼玉,8104,230484,3.5%
千葉,6751,160899,4.2%
東京,39649,743888,5.3%
神奈川,12112,249352,4.9%
新潟,326,21992,1.5%
富山,453,16966,2.7%
石川,846,21523,3.9%
福井,312,14493,2.2%
山梨,336,13459,2.5%
長野,670,30587,2.2%
岐阜,1014,32891,3.1%
静岡,1447,55546,2.6%
,9398,135512,6.9%
三重,797,19848,4.0%
滋賀,773,27121,2.9%
京都,2585,64192,4.0%
大阪,19167,313767,6.1%
,5211,91975,5.7%
奈良,1087,31912,3.4%
和歌山,428,12996,3.3%
鳥取,58,16298,0.4%
島根,145,6772,2.1%
岡山,568,19205,3.0%
広島,785,34211,2.3%
山口,372,17013,2.2%
徳島,181,7779,2.3%
香川,135,16584,0.8%
愛媛,296,6776,4.4%
高知,149,3747,4.0%
,5644,196941,2.9%
佐賀,300,9506,3.2%
長崎,265,26604,1.0%
熊本,999,23481,4.3%
大分,255,26669,1.0%
宮崎,477,9431,5.1%
鹿児島,607,27152,2.2%
沖縄,4169,71380,5.8%
長崎船,149,0,-
合計,140568,3137260,4.5%
