都道府県名,陽性者数 検査人数,,%
北海道,28040,573238,4.9%
青森,1873,36929,5.1%
岩手,1138,62455,1.8%
宮城,8439,126945,6.6%
秋田,643,11879,5.4%
山形,1638,50974,3.2%
福島,4061,202600,2.0%
茨城,8749,31120,28.1%
栃木,5682,224618,2.5%
群馬,6946,149359,4.7%
埼玉,40548,802472,5.1%
千葉,34872,564741,6.2%
東京,149061,2117329,7.0%
神奈川,56572,850769,6.6%
新潟,2694,120637,2.2%
富山,1445,55006,2.6%
石川,3028,76186,4.0%
福井,963,53881,1.8%
山梨,1347,36365,3.7%
長野,4192,157363,2.7%
岐阜,7040,205502,3.4%
静岡,7027,315045,2.2%
愛知,37707,600756,6.3%
三重,4265,104528,4.1%
滋賀,4309,111487,3.9%
京都,13928,229606,6.1%
大阪,92035,1573865,5.8%
兵庫,35929,411205,8.7%
奈良,7137,136175,5.2%
和歌山,2414,36332,6.6%
鳥取,405,65771,0.6%
島根,394,21314,1.8%
岡山,5443,108427,5.0%
広島,7303,307758,2.4%
山口,2231,82172,2.7%
徳島,1526,48606,3.1%
香川,1685,67225,2.5%
愛媛,2567,69986,3.7%
高知,1132,8604,13.2%
福岡,28243,655689,4.3%
佐賀,2091,43346,4.8%
長崎,2603,99416,2.6%
熊本,4914,69306,7.1%
大分,2590,123713,2.1%
宮崎,2697,35075,7.7%
鹿児島,2710,89488,3.0%
沖縄,13372,199885,6.7%
長崎船,149,0,-
合計,655777,12125148,5.4%
