都道府県名,陽性者数,検査人数,%
北海道,767,6892,11.1%
青森,26,639,4.1%
岩手,0,343,0.0%
宮城,88,1885,4.7%
秋田,16,850,1.9%
山形,68,2159,3.1%
福島,73,1812,4.0%
茨城,163,4623,3.5%
栃木,54,2010,2.7%
群馬,146,1630,9.0%
埼玉,851,7818,10.9%
千葉,810,6141,12.5%
東京,4166,10981,37.9%
神奈川,1028,5871,16.3%
新潟,75,2903,2.6%
富山,202,2535,8.0%
石川,251,1937,13.0%
福井,122,1696,7.2%
山梨,52,2292,2.3%
長野,66,1798,3.7%
岐阜,146,2400,6.1%
静岡,72,2736,2.6%
愛知,488,7327,6.7%
三重,45,1903,2.4%
滋賀,96,1289,7.4%
京都,319,4177,7.6%
大阪,1627,8965,16.8%
兵庫,645,7481,8.6%
奈良,82,1508,5.4%
和歌山,62,3033,2.0%
鳥取,3,1048,0.3%
島根,23,820,2.8%
岡山,23,1196,1.9%
広島,155,4959,3.1%
山口,32,1285,2.5%
徳島,5,459,1.1%
香川,28,1613,1.7%
愛媛,47,1095,4.3%
高知,74,1439,5.1%
福岡,642,9254,6.9%
佐賀,41,1027,4.0%
長崎,17,2008,0.8%
熊本,47,3148,1.5%
大分,60,3157,1.9%
宮崎,17,1105,1.5%
鹿児島,10,1260,0.8%
沖縄,142,2113,6.7%
長崎船,148,623,23.8%
合計,14120,145243,9.6%
