都道府県名,陽性者数 検査人数,,%
北海道,1367,26110,5.2%
⻘森,31,1317,2.4%
岩手,0,1290,0.0%
宮城,138,5385,2.6%
秋田,16,1054,1.5%
山形,75,2841,2.6%
福島,86,8836,1.0%
茨城,237,6442,3.7%
栃木,147,11837,1.2%
群馬,177,7256,2.4%
埼玉,1955,55838,3.5%
千葉,1406,24972,5.6%
東京,10420,151630,6.9%
神奈川,2160,16219,13.3%
新潟,92,5858,1.6%
富山,235,4874,4.8%
石川,307,3056,10.0%
福井,127,4445,2.9%
山梨,80,6681,1.2%
⻑野,86,5531,1.6%
岐阜,208,8212,2.5%
静岡,119,10472,1.1%
愛知,772,16828,4.6%
三重,59,3435,1.7%
滋賀,145,3573,4.1%
京都,586,14909,3.9%
大阪,2766,59472,4.7%
兵庫,883,20675,4.3%
奈良,184,7978,2.3%
和歌山,109,5306,2.1%
鳥取,5,2261,0.2%
島根,26,2046,1.3%
岡山,45,2507,1.8%
広島,227,9665,2.3%
山口,47,3440,1.4%
徳島,10,1487,0.7%
香川,45,4184,1.1%
愛媛,83,2757,3.0%
高知,77,2155,3.6%
福岡,1174,20267,5.8%
佐賀,57,1864,3.1%
⻑崎,47,5522,0.9%
熊本,57,4607,1.2%
大分,60,5950,1.0%
宮崎,23,1868,1.2%
鹿児島,174,8642,2.0%
沖縄,162,5941,2.7%
⻑崎船,149,-,-
合計,27441,587495,4.7%
