都道府県名,PCR検査,PCR検査,入院治療等を,,退院又は療養解除,死亡(累積)
北 海 道,1099,14714,191,10,821,87
青   森,27,867,0,0,26,1
岩    手,0,695,0,0,0,0
宮    城,88,2979,0,0,87,1
秋  田,16,940,0,0,16,0
山    形,69,2412,3,1,66,0
福    島,81,4661,6,0,75,0
茨    城,168,4721,5,0,153,10
栃    木,66,4105,14,0,53,0
群    馬,149,3746,8,1,122,19
埼    玉,1005,22228,47,4,909,49
千    葉,907,14929,37,4,825,45
東    京,5295,15332,366,27,4623,306
神 奈 川,1375,10103,159,21,1130,86
新    潟,83,4262,1,0,81,0
富    山,227,3431,9,0,196,22
石    川,298,2746,39,2,233,26
福    井,122,2717,2,1,112,8
山    梨,65,4146,4,0,60,1
長    野,76,2766,5,0,71,-
岐    阜,151,3729,3,1,141,7
静    岡,76,3554,2,0,73,1
愛    知,509,10284,12,0,458,34
三    重,45,2527,0,0,44,1
滋    賀,100,1896,7,1,92,1
京    都,358,8257,10,1,331,17
大    阪,1783,31646,93,15,1602,84
兵    庫,699,11293,21,4,636,42
奈    良,92,2898,1,0,89,2
和 歌 山,63,3733,0,0,60,3
鳥    取,3,1357,0,0,3,0
島    根,24,1138,1,1,23,0
岡    山,25,1731,0,-,25,-
広    島,167,7060,6,0,158,3
山    口,37,1782,1,1,36,0
徳    島,5,752,0,0,4,1
香    川,28,2225,0,0,28,0
愛    媛,82,2316,23,1,55,4
高    知,74,1812,0,0,71,3
福    岡,780,13239,125,5,628,27
佐    賀,47,1443,0,0,45,0
長    崎,17,2814,0,0,16,1
熊    本,48,3962,1,0,44,3
大    分,60,4081,1,0,58,1
宮    崎,17,1402,0,0,17,0
鹿 児 島,10,1918,0,0,10,0
沖    縄,142,2880,2,1,137,7
(その他),149,-,2,-,147,-
合計,16807,254229,1207,102,14690,903
