都道府県名,陽性者数 検査人数,,%
北海道,1099,14714,7.5%
青森,27,867,3.1%
岩手,0,695,0.0%
宮城,88,2979,3.0%
秋田,16,940,1.7%
山形,69,2412,2.9%
福島,81,4661,1.7%
茨城,168,4721,3.6%
栃木,66,4105,1.6%
群馬,149,3746,4.0%
埼玉,1005,22228,4.5%
千葉,907,14929,6.1%
東京,5295,15332,34.5%
神奈川,1375,10103,13.6%
新潟,83,4262,1.9%
富山,227,3431,6.6%
石川,298,2746,10.9%
福井,122,2717,4.5%
山梨,65,4146,1.6%
長野,76,2766,2.7%
岐阜,151,3729,4.0%
静岡,76,3554,2.1%
愛知,509,10284,4.9%
三重,45,2527,1.8%
滋賀,100,1896,5.3%
京都,358,8257,4.3%
大阪,1783,31646,5.6%
兵庫,699,11293,6.2%
奈良,92,2898,3.2%
和歌山,63,3733,1.7%
鳥取,3,1357,0.2%
島根,24,1138,2.1%
岡山,25,1731,1.4%
広島,167,7060,2.4%
山口,37,1782,2.1%
徳島,5,752,0.7%
香川,28,2225,1.3%
愛媛,82,2316,3.5%
高知,74,1812,4.1%
福岡,780,13239,5.9%
佐賀,47,1443,3.3%
長崎,17,2814,0.6%
熊本,48,3962,1.2%
大分,60,4081,1.5%
宮崎,17,1402,1.2%
鹿児島,10,1918,0.5%
沖縄,142,2880,4.9%
長崎船,149,-,-
合計,16807,254229,6.6%
