都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,2612,72274,217,2,2287,108
青 森,148,3511,105,2,42,1
岩手,26,5037,3,0,23,0
宮城,544,12635,45,1,497,2
秋  田,61,2414,2,0,59,0
山形,82,5700,2,0,79,1
福島,378,26480,77,3,295,6
茨城,735,13508,30,2,687,18
栃木,473,34937,31,0,442,1
群馬,820,27239,49,5,738,19
埼玉,5521,172103,424,9,4994,103
千葉,4680,117935,345,9,4259,76
東京,29520,559296,1623,24,27455,442
神奈川,8155,185105,530,22,7470,155
新潟,180,17179,1,0,179,0
富山,422,14206,0,0,396,26
石川,796,15845,17,0,731,48
福井,256,10735,8,0,237,11
山梨,202,11338,3,1,193,6
長野,329,21738,10,1,319,4
岐阜,660,25543,25,1,625,10
静岡,585,40487,14,0,569,2
愛知,5749,91971,252,11,5406,91
三重,551,15019,14,1,530,7
滋賀,533,13541,17,0,507,9
京都,1945,50131,84,0,1832,29
大阪,11780,219789,495,22,11038,231
兵庫,3040,64967,110,15,2869,61
奈良,621,23684,23,2,589,9
和歌山,266,10071,16,2,243,4
鳥取,35,5569,0,0,35,0
島根,140,6075,0,0,140,0
岡山,188,8654,22,1,162,1
広島,651,26448,25,0,622,5
山口,211,11288,3,1,206,2
徳島,164,7324,14,0,140,9
香川,100,12840,4,0,94,2
愛媛,116,4284,1,0,109,6
高知,140,3594,0,0,136,4
福岡,5160,155416,65,5,4995,100
佐賀,253,6820,4,0,251,0
長崎,242,21285,0,0,236,3
熊本,759,18753,48,0,691,8
大分,159,19788,1,0,155,3
宮崎,366,8736,1,0,365,1
鹿児島,463,21644,10,0,453,12
沖縄,3048,49742,297,9,2698,57
(その他),149,-,0,-,149,-
合計,94014,2272678,5067,151,87227,1693
