都道府県名,陽性者数 検査人数,,%
北海道,1446,29610,4.9%
青森,32,1445,2.2%
岩手,4,1567,0.3%
宮城,165,6042,2.7%
秋田,18,1146,1.6%
山形,76,2918,2.6%
福島,89,10027,0.9%
茨城,322,7081,4.5%
栃木,195,13811,1.4%
群馬,192,8361,2.3%
埼玉,2461,66715,3.7%
千葉,1780,29050,6.1%
東京,13455,191114,7.0%
神奈川,2615,18126,14.4%
新潟,116,6619,1.8%
富山,244,5323,4.6%
石川,323,3283,9.8%
福井,140,4976,2.8%
山梨,94,7260,1.3%
長野,117,7631,1.5%
岐阜,351,10835,3.2%
静岡,269,13280,2.0%
愛知,1977,22910,8.6%
三重,112,4424,2.5%
滋賀,184,4495,4.1%
京都,758,17749,4.3%
大阪,4446,76516,5.8%
兵庫,1252,27277,4.6%
奈良,264,8733,3.0%
和歌山,167,6359,2.6%
鳥取,18,3054,0.6%
島根,29,2955,1.0%
岡山,88,3093,2.8%
広島,347,11610,3.0%
山口,58,4073,1.4%
徳島,28,1968,1.4%
香川,46,4782,1.0%
愛媛,95,3050,3.1%
高知,81,2292,3.5%
福岡,2047,25500,8.0%
佐賀,95,2555,3.7%
長崎,112,7268,1.5%
熊本,217,6008,3.6%
大分,68,6956,1.0%
宮崎,157,4920,3.2%
鹿児島,256,10949,2.3%
沖縄,517,8972,5.8%
長崎船,149,-,-
合計,38072,724688,5.3%
