都道府県名,PCR検査,PCR検査,入院治療等を,,退院又は療養解除,死亡(累積)
北 海 道,1154,17153,120,10,943,91
青   森,27,910,0,0,26,1
岩    手,0,776,0,0,0,0
宮    城,88,3253,0,0,87,1
秋  田,16,962,0,0,16,0
山    形,69,2475,2,1,67,0
福    島,81,5554,2,0,79,0
茨    城,168,5005,3,0,155,10
栃    木,66,5463,1,0,65,0
群    馬,151,4336,5,0,127,19
埼    玉,1019,26614,25,4,943,51
千    葉,919,16310,28,3,846,45
東    京,5497,16351,321,22,4862,314
神 奈 川,1402,11129,100,15,1213,89
新    潟,83,4553,1,0,81,0
富    山,227,3642,3,0,202,22
石    川,299,2830,31,2,241,27
福    井,122,3018,1,1,113,8
山    梨,69,4728,1,0,67,1
長    野,76,2995,3,0,73,-
岐    阜,153,4229,3,1,143,7
静    岡,77,3666,3,0,73,1
愛    知,513,11171,9,0,467,34
三    重,45,2632,0,0,44,1
滋    賀,100,2077,1,1,98,1
京    都,360,8953,4,0,338,18
大    阪,1786,35176,31,9,1668,85
兵    庫,699,11882,3,0,653,43
奈    良,92,3240,0,0,90,2
和 歌 山,63,3840,0,0,60,3
鳥    取,3,1422,0,0,3,0
島    根,24,1199,1,1,23,0
岡    山,25,1817,0,-,25,-
広    島,168,7393,0,0,165,3
山    口,37,1921,1,1,36,0
徳    島,5,812,0,0,4,1
香    川,28,2375,0,0,28,0
愛    媛,82,2510,9,0,69,4
高    知,74,1884,0,0,71,3
福    岡,821,14831,87,2,706,28
佐    賀,47,1540,0,0,47,0
長    崎,17,3019,0,0,16,1
熊    本,48,4092,0,0,45,3
大    分,60,4400,0,0,59,1
宮    崎,17,1470,0,0,17,0
鹿 児 島,11,2163,1,0,10,0
沖    縄,142,2949,0,0,139,7
(その他),149,-,1,-,148,-
合計,17179,280720,801,73,15451,925
