都道府県名,陽性者数 検査人数,,%
北海道,1797,44770,4.0%
青森,35,2063,1.7%
岩手,22,3163,0.7%
宮城,210,7959,2.6%
秋田,49,1797,2.7%
山形,78,3115,2.5%
福島,168,15127,1.1%
茨城,555,10918,5.1%
栃木,307,22687,1.4%
群馬,451,14847,3.0%
埼玉,4013,111359,3.6%
千葉,3092,56986,5.4%
東京,21128,333714,6.3%
神奈川,5096,118302,4.3%
新潟,145,12820,1.1%
富山,396,9723,4.1%
石川,666,8652,7.7%
福井,236,8268,2.9%
山梨,173,9616,1.8%
長野,268,14878,1.8%
岐阜,562,18372,3.1%
静岡,484,26222,1.8%
愛知,4559,55193,8.3%
三重,380,9957,3.8%
滋賀,454,9392,4.8%
京都,1474,32102,4.6%
大阪,8752,138267,6.3%
兵庫,2297,45186,5.1%
奈良,524,12990,4.0%
和歌山,231,8665,2.7%
鳥取,22,4566,0.5%
島根,137,4911,2.8%
岡山,145,5880,2.5%
広島,459,17843,2.6%
山口,175,6976,2.5%
徳島,137,6023,2.3%
香川,78,8291,0.9%
愛媛,114,3828,3.0%
高知,129,3115,4.1%
福岡,4636,41214,11.2%
佐賀,239,5151,4.6%
長崎,232,14973,1.5%
熊本,528,11621,4.5%
大分,150,12804,1.2%
宮崎,338,8126,4.2%
鹿児島,363,16024,2.3%
沖縄,2152,25883,8.3%
長崎船,149,0,-
合計,68785,1364339,5.0%
